,地域コード,都道府県,市,世帯人員,食料（合計）,01　穀類,米,食パン,他のパン,生うどん・そば,乾うどん・そば,パスタ,中華麺,カップ麺,即席麺,他の麺類,小麦粉,もち,他の穀類のその他,02　魚介類,まぐろ,あじ,いわし,かつお,かれい,さけ,さば,さんま,たい,ぶり,いか,たこ,えび,かに,他の鮮魚,さしみ盛合わせ,あさり,しじみ,かき（貝）,ほたて貝,他の貝,塩さけ,たらこ,しらす干し,干しあじ,他の塩干魚介,揚げかまぼこ,ちくわ,かまぼこ,他の魚肉練製品,かつお節・削り節,魚介の漬物,魚介のつくだ煮,魚介の缶詰,他の魚介加工品のその他,03　肉類,牛肉,豚肉,鶏肉,合いびき肉,他の生鮮肉,ハム,ソーセージ,ベーコン,他の加工肉,04　乳卵類,牛乳,粉ミルク,ヨーグルト,バター,チーズ,他の乳製品,卵,05　野菜・海藻,キャベツ,ほうれんそう,はくさい,ねぎ,レタス,ブロッコリー,もやし,他の葉茎菜,さつまいも,じゃがいも,さといも,だいこん,にんじん,ごぼう,たまねぎ,れんこん,たけのこ,他の根菜,さやまめ,かぼちゃ,きゅうり,なす,トマト,ピーマン,生しいたけ,しめじ,えのきたけ,他のきのこ,他の野菜のその他,豆類,干ししいたけ,干しのり,わかめ,こんぶ,他の乾物・海藻,豆腐,油揚げ・がんもどき,納豆,他の大豆製品,こんにゃく,梅干し,だいこん漬,はくさい漬,他の野菜の漬物,こんぶつくだ煮,他の野菜・海藻の佃煮,他の野菜・海藻加工品のその他,06　果物,りんご,みかん,オレンジ,他の柑きつ類,梨,ぶどう,柿,桃,すいか,メロン,いちご,バナナ,キウイフルーツ,他の果物,果物加工品,07　油脂・調味料,食用油,マーガリン,食塩,しょう油,みそ,砂糖,酢,ソース,ケチャップ,マヨネーズ・マヨネーズ風調味料,ドレッシング,ジャム,カレールウ,乾燥スープ,風味調味料,ふりかけ,つゆ・たれ,他の調味料,08　菓子類,ようかん,まんじゅう,他の和生菓子,カステラ,ケーキ,ゼリー,プリン,他の洋生菓子,せんべい,ビスケット,スナック菓子,キャンデー,チョコレート,チョコレート菓子,アイスクリーム・シャーベット,他の菓子,09　調理食品,弁当,すし（弁当）,おにぎり・その他,調理パン,他の主食的調理食品,うなぎのかば焼き,サラダ,コロッケ,カツレツ,天ぷら・フライ,しゅうまい,ぎょうざ,やきとり,ハンバーグ,冷凍調理食品,そうざい材料セット,他の調理食品のその他,10　飲料,緑茶,紅茶,他の茶葉,茶飲料,コーヒー,コーヒー飲料,ココア・ココア飲料,果実・野菜ジュース,炭酸飲料,乳酸菌飲料,乳飲料,ミネラルウォーター,スポーツドリンク,他の飲料のその他,11　酒類,清酒,焼酎,ビール,ウイスキー,ワイン,発泡酒・ビール風アルコール飲料,チューハイ・カクテル,他の酒,12　外食,日本そば・うどん,中華そば,他の麺類外食,すし（外食）,和食,中華食,洋食,焼肉,ハンバーガー,他の主食的外食,喫茶代,飲酒代,学校給食
28,R28100,兵庫県,神戸市,2.86,959080,84068,22068,12123,26312,3437,1988,1129,3914,4630,1984,795,602,1809,3276,68357,2881,1904,375,1186,992,4535,912,665,1602,3286,1573,1423,3350,1661,8256,3689,466,153,1067,802,190,1409,1701,1259,280,6046,2649,1799,2502,889,807,1883,1381,2277,2507,99622,28015,30077,18441,3209,2951,5598,6868,2213,2249,49404,17054,556,13270,1535,6351,688,9950,106657,3180,2145,1719,3771,2407,2421,1043,6949,1242,2401,654,1789,2378,839,3543,1082,815,3455,2016,1481,2796,2084,8732,2507,2018,1832,1151,2124,5094,347,398,2561,1225,820,2663,5155,3205,3196,1134,1783,1416,971,449,4457,1098,413,1698,39197,4658,3992,711,2337,1193,2793,1180,811,1403,583,3391,5603,2657,4451,3434,43459,3561,915,377,1567,1624,1037,810,956,542,1118,2034,1483,1200,4067,2406,1468,4724,13567,83156,527,778,8640,862,6376,1903,1551,9449,4406,4205,4167,2138,7313,1510,8922,20408,133446,13997,15263,4849,5615,14808,2471,5284,2271,1738,9977,861,2210,1784,1107,5762,4722,40727,51072,2556,1230,1722,5627,7102,4952,377,7011,4600,3679,2593,2635,1236,5752,42698,5445,4750,11387,2037,3510,9720,5081,768,157944,5045,4539,2167,11249,18869,5766,8380,5998,4843,63329,9001,12503,6254
29,R29201,奈良県,奈良市,2.86,1010888,81965,23121,11825,23003,3543,2727,1229,3973,4067,2003,617,859,1645,3353,80770,3924,856,522,1525,1639,5079,1128,879,1434,3780,2307,1616,4007,2352,7305,4495,683,261,998,952,245,2460,1880,2282,526,8303,2949,1893,2754,1106,1022,2583,1402,2591,3032,110811,38011,31398,17946,3518,2567,5355,7648,2660,1708,52575,16617,576,15063,1593,6670,761,11295,119002,3023,2460,1761,3678,2542,2672,972,7805,1240,2757,868,1930,2563,1085,3578,1304,1004,3860,2254,1611,3282,2465,8278,2613,2553,1901,1356,2701,3845,637,405,2937,1520,1142,3368,5521,4140,3697,1367,2179,1669,1153,565,6423,1666,498,2154,40990,4702,4630,731,2249,1415,2925,1592,1264,1278,723,3551,5618,2354,3994,3966,47622,4416,780,439,2095,2228,1209,856,878,616,1298,2136,1571,1489,3358,3087,1598,5426,14141,91132,651,1061,10692,756,6544,1951,1507,8610,7125,5007,5174,2421,7760,1606,9612,20656,127512,11169,16047,3582,5357,15427,3080,4066,2276,1507,9330,993,2003,1664,1300,10398,4990,34322,55294,3662,1003,2093,5620,7410,4231,516,8672,5191,3958,1947,3456,1270,6263,41253,5487,5619,10013,2061,4550,9172,3288,1062,161962,5756,5816,2340,16470,26103,5214,11087,8207,4859,44601,8049,15339,8123
30,R30201,和歌山県,和歌山市,2.8,843467,77669,23858,11468,21016,3024,2363,940,3603,3972,1921,502,644,1367,2990,71771,4173,1140,527,1768,815,4141,1536,771,1479,3864,2003,1363,3813,1764,7505,3415,552,281,1012,587,303,1830,1303,2965,528,7129,2729,1490,2649,976,1002,1356,1013,1951,2037,102442,34720,30150,17083,2976,2936,3928,6652,2159,1838,45042,16145,516,11982,1055,4548,527,10270,91762,2587,2011,1628,3075,2359,2098,879,5330,1206,2411,650,1576,1964,812,2937,841,529,3134,1818,1244,2575,1764,6453,1797,1814,1663,1121,1886,2577,470,265,2822,1054,803,2489,4205,2283,2456,1108,1590,2644,774,291,4320,1288,398,1766,35760,4364,5150,436,1981,1117,2238,1059,2662,1366,719,2855,5196,1595,2621,2402,40202,3626,779,414,1493,1541,1175,840,755,627,1311,1784,1094,1318,2888,2175,1302,5323,11757,68905,423,1052,6514,616,5504,1744,1432,6294,3718,2540,3212,2272,5253,1379,8133,18820,105492,13261,13062,3592,3509,12971,3024,4157,2029,1605,8837,726,1971,2127,1291,5481,2484,25364,50289,2312,612,1524,5634,6327,4791,363,7361,4494,4442,1854,3266,1156,6153,34705,5290,4805,10431,1431,1592,7364,2925,867,119428,3818,3118,1567,10959,19376,3751,7446,5192,3941,42961,5431,5770,6099
31,R31201,鳥取県,鳥取市,3.24,934631,80231,21399,12177,21734,3455,1684,1251,3700,5687,3007,436,780,1418,3504,75202,1650,1224,1072,1128,3004,4246,1126,814,681,3882,2496,1071,3139,5128,6315,2220,723,748,1090,684,500,1947,1484,1139,366,8814,2187,3558,2569,2268,702,1872,733,2533,2091,98181,24355,30721,19229,4645,2137,4357,8497,2679,1562,50485,19346,1060,11823,879,5402,537,11439,100830,3398,2389,1506,2957,2754,2560,1523,6204,886,2443,653,1633,2655,992,3159,480,326,3341,1295,1096,3027,1721,7087,2073,2127,1918,1566,2084,2996,398,246,2477,1435,616,2731,6006,3088,3598,1064,1800,1498,1057,1564,2712,1155,427,2113,42912,4645,3958,845,1601,8133,2599,1451,475,1847,1219,2923,5907,1922,2566,2820,48171,3906,899,442,2008,2258,1385,803,951,733,1536,2253,1210,1855,3724,2926,2079,5622,13582,89138,514,2527,8804,707,8078,2156,1822,7633,5619,5042,7567,2302,7320,2757,10514,15778,117836,13161,12028,4486,5523,13081,2322,3883,2060,1513,11134,596,1878,1958,1132,12868,1353,28860,54674,1969,454,1790,5246,7530,5631,489,7258,6366,3900,2559,3480,1528,6474,39145,4399,4530,9665,2013,1587,12081,4099,772,137826,5279,5258,1221,13615,22269,4093,10523,5625,4511,28671,6089,12446,18225
32,R32201,島根県,松江市,2.95,911356,73729,20049,11089,18942,3456,2314,1316,4166,4233,2086,421,517,1913,3225,65658,1291,2150,737,961,1478,4084,1242,611,902,3740,2070,742,2174,1898,6754,2824,543,1827,520,475,893,1416,1022,1121,620,7316,1948,1330,3722,1138,752,1677,657,2786,2239,85692,19709,28021,16085,3346,2447,4410,7036,2433,2204,45830,16504,959,12418,1084,5603,470,8793,105141,3139,2443,1440,3407,2590,2424,1153,5899,1302,2390,777,1578,2599,1145,3118,556,546,2960,1586,1528,3271,1865,7745,2477,2274,1929,1269,2147,3574,620,267,2676,1624,995,3086,5689,2949,3808,1122,1711,1556,1129,460,4707,1173,487,1952,42237,4893,3785,737,2595,4188,3203,1238,496,1373,1019,3839,5263,2075,3928,3604,46462,3982,726,500,2485,2076,1174,1122,728,695,1306,2563,1435,1510,3849,2435,1839,5230,12810,81215,603,1104,9612,584,6550,1800,1594,6944,4629,4129,5254,2038,6246,1540,8308,20281,117234,13778,11945,4467,4737,12825,2575,3904,2215,1555,9748,632,2238,1821,1082,8388,2632,32691,51489,3718,799,1870,4761,7197,3447,572,6699,5046,3405,2568,3794,1306,6307,42368,7322,7261,10613,2326,3227,7502,3009,1107,154299,7869,6537,1837,11971,18033,3484,5700,7777,4398,46972,5306,22900,11514
33,R33100,岡山県,岡山市,3.1,907674,80246,19287,10402,26548,3384,2219,1425,3958,4655,2036,522,596,2027,3188,64521,1785,1056,416,1376,1114,4722,1215,870,972,3548,1838,1205,3335,1261,8410,3491,605,264,1190,627,302,1855,1512,1008,222,5876,2008,1865,2471,1029,783,1373,499,1923,2493,90237,21632,29575,16974,3776,3091,3623,7330,2566,1669,45746,16821,1071,11695,1243,6021,601,8294,91250,3069,1760,1460,3174,2226,2216,1033,5725,1115,2313,427,1439,2307,1057,2910,986,385,2521,1266,1113,2464,1432,6725,1887,1804,1844,1291,1800,3598,357,158,2403,1346,651,2574,4842,2744,3580,876,1457,1183,706,503,3783,801,242,1696,36020,3768,3530,610,1988,966,4225,784,2874,1164,533,3192,4860,1625,3102,2795,41665,3792,703,349,1709,1727,856,822,972,647,1134,1963,1292,1324,3220,2259,1651,4955,12290,83166,552,1529,7652,533,6914,2205,1525,7921,4100,3469,4734,1940,6188,1683,9458,22765,124104,16609,11708,5256,5461,15560,1513,4705,1890,1620,10028,654,1897,2218,1191,8682,3674,31436,56438,1793,790,1614,6885,6680,5399,339,8743,5721,3869,2985,2834,1411,7376,32159,5339,4450,7218,1011,1845,7163,4365,768,162123,6938,6258,2713,11886,17126,3232,7225,7688,5508,63163,7059,12390,10938
34,R34100,広島県,広島市,2.99,973315,77928,20875,11297,22932,3285,1851,1404,4036,4047,2077,585,670,1456,3412,73608,2060,1567,618,1273,1041,5352,1014,704,1399,3978,1785,1537,3088,1331,9009,4223,696,200,2642,838,429,1511,1876,848,268,7149,2411,1677,2865,1178,655,1869,589,2404,3524,106415,30795,32296,17836,3534,3668,4854,7933,2680,2820,51304,17576,826,14617,1300,6217,628,10140,104256,3018,2146,1562,3475,2379,2399,985,6674,1035,2867,676,1656,2514,1273,3277,1443,452,3405,1649,1504,3449,1783,7109,2225,1959,2243,1394,2400,4113,450,250,2918,1240,915,2986,5169,2485,3734,1025,1860,1169,1014,540,4234,998,322,1885,41567,4917,4055,802,2624,1197,3585,1217,793,1393,1093,3722,6102,1957,4575,3535,47233,4486,794,437,2153,2129,1087,919,1160,612,1227,2254,1450,1314,3845,2370,1701,5390,13904,83954,355,1044,8819,612,7205,2291,1222,8011,4373,3603,5173,2255,7628,1921,9635,19805,138657,16580,14247,5375,5366,18694,2405,5498,1951,1740,11135,640,1908,2508,1086,7817,3697,38009,55293,2124,709,1846,6074,7676,4164,337,8448,5512,4046,2506,3076,1660,7114,45845,5443,7706,11628,2729,2455,10887,3677,1321,147255,5854,5448,2394,10369,19794,3178,6915,7284,4845,54751,5621,12894,7904
35,R35203,山口県,山口市,3.09,905967,72138,18837,9374,20559,3426,1840,1164,3342,4937,2533,535,704,1330,3555,71248,1914,2402,739,1419,1544,4635,1196,682,1498,4532,1907,1228,2994,906,7790,3796,718,242,667,770,479,1445,2089,738,575,7697,2249,2139,3683,1408,640,1497,420,2389,2221,101827,28825,28854,19097,3804,3472,4419,8202,2908,2246,46530,15679,580,12852,1253,5614,657,9896,89601,2641,1649,1340,2845,2505,1676,873,5083,896,2139,646,1398,2157,1185,2782,1012,439,2460,1175,1279,2751,1705,6234,1636,1866,2332,1357,1777,2645,465,313,2613,1407,794,3150,4604,2416,3324,865,1603,1228,1120,689,3346,1057,529,1592,33695,4894,3400,482,1775,2090,2477,695,983,1035,607,3529,5134,1328,2733,2533,45218,4302,694,461,2038,2141,1297,1015,876,579,1325,2146,1130,1465,3638,2216,2411,5345,12140,88265,377,1753,9500,582,7486,2483,1540,7846,5785,4610,7593,2648,7796,2853,10039,15375,121203,17001,11738,4290,6490,14923,1402,4251,1666,1603,11725,498,1805,2065,1159,9219,4003,27363,55009,2029,546,1488,6277,6830,5307,455,8071,7190,3315,3276,2143,1489,6591,46278,4212,9906,11526,940,2405,12462,4151,676,134955,6054,5030,1698,11237,25811,2907,13595,6839,4818,20939,5112,14046,16869
36,R36201,徳島県,徳島市,2.92,912747,75530,20430,9859,22942,3692,2106,1107,3340,4149,2038,409,661,1563,3234,67240,3227,1021,314,2236,446,4474,991,780,1316,4610,1807,1322,2530,1089,6133,3703,620,371,552,615,282,1519,1020,786,227,8260,2777,3068,2478,1134,921,1358,763,2148,2340,95140,30276,27582,16285,3576,2803,4018,6785,2265,1548,45419,16481,856,12673,1084,4577,557,9191,97738,2958,1692,1560,2909,2370,2031,1022,5134,2038,2275,486,1449,2222,682,3204,862,600,2916,1726,1310,3038,1707,7220,1817,2167,1798,1305,1541,3667,392,276,3900,1893,653,2520,6373,2463,3147,979,1690,1186,1127,471,3952,1154,402,1455,36793,5194,3865,510,2593,1297,2474,702,1054,1236,1035,3529,5419,2204,3084,2596,42011,3599,554,339,1816,2340,1150,946,970,663,1301,1942,1092,1428,3304,2400,1526,5026,11617,80384,462,1203,8385,816,6272,1642,1387,7020,4269,3216,4324,1987,7027,1594,8670,22110,126770,14334,14322,4395,4749,13608,2257,4464,2013,2154,12039,708,2027,3207,1268,6223,4095,34910,56619,2543,523,1378,6253,7214,5442,402,8321,6599,3298,2549,3394,1832,6870,37453,5065,4896,11289,1498,2187,8437,3082,999,151650,6056,4892,1269,12630,16829,3067,6833,6410,6111,56239,5125,14954,11236
37,R37201,香川県,高松市,3.01,915872,77134,18003,10980,21076,6558,3940,972,3661,4412,2170,411,676,1318,2957,67684,1986,1291,296,2010,821,4773,1017,803,1457,4805,1715,1655,3008,1276,6280,2955,732,212,961,785,268,1798,1194,843,318,6712,3725,1852,3069,1162,752,1887,738,2239,2287,93686,23978,27518,17788,3951,3796,5266,6938,2365,2086,44286,15621,840,12678,950,4924,556,8716,88749,2652,1901,1471,2844,2106,1836,1002,4945,991,2289,454,1318,2239,915,2773,1039,426,2252,1105,1416,2630,1591,5925,1737,1746,1897,1270,2036,2443,305,176,2393,1516,836,2250,5477,3339,2875,1007,1931,1459,1174,475,3173,890,409,1813,32744,3910,3687,584,1802,1330,2752,841,1156,1023,501,3160,5331,1408,2939,2322,43720,4391,767,337,1883,1935,1302,854,881,605,1163,2085,1062,1481,3484,2403,1672,5428,11985,85880,503,1445,9182,736,7075,2023,1521,8236,6059,4114,6803,2431,6873,2087,9005,17786,119404,14701,12318,4402,5673,14240,1570,4198,2184,2069,10590,598,1936,2046,1445,7450,6295,27689,58046,2122,632,1488,6535,6754,5551,306,8617,6922,3628,2989,3744,1521,7236,36036,3596,5518,9248,1291,2077,9427,4157,722,168502,14017,5576,2610,12744,29590,4852,15335,8368,6354,31414,7117,13784,16743
38,R38201,愛媛県,松山市,2.92,849826,73280,19816,9010,22919,3744,1939,1197,3624,3728,1825,498,641,1342,2997,66077,2272,1470,453,1954,453,4539,898,783,1996,3514,1643,1288,3316,1354,7387,3380,661,288,775,903,311,1133,987,946,353,6707,2799,2550,2842,1171,800,1240,622,2134,2157,93127,26136,28372,16440,3788,2594,4356,7094,2340,2008,42883,14647,846,11988,899,4818,507,9178,90728,3151,1631,1399,2818,2138,1963,1000,5273,1124,2313,826,1461,2247,1081,2972,1172,438,3134,1477,1365,2827,1499,6793,1670,1497,1919,1205,1350,3769,380,208,2669,1258,698,2541,5237,2461,3262,904,1733,856,819,353,3096,674,271,1795,35703,3507,4707,190,4953,1143,2510,878,716,994,501,2750,4829,1604,4138,2283,41790,3969,655,400,1696,2067,1080,988,950,606,1296,2111,1093,1335,2506,2132,1693,5174,12039,77967,694,843,8027,605,6236,2204,1415,6563,3631,3150,4412,2062,6076,1712,8531,21809,121346,13130,13484,3939,3548,13251,1869,3963,1683,1359,10228,573,1815,1824,1001,8631,6747,34300,51980,2046,604,1206,5211,5952,4172,413,7737,5306,3939,2222,4175,1630,7368,35094,4193,5457,10737,923,1736,8457,2960,630,119852,6353,3674,1304,9866,15165,2423,4683,6103,4919,41729,4318,9835,9480
39,R39201,高知県,高知市,3.02,959481,74134,23015,11262,17720,3333,1513,1134,3306,5126,2234,478,670,1262,3081,76146,5498,1453,452,7964,351,3512,1145,603,1163,4454,2225,1303,2861,1358,4711,1876,802,243,594,977,289,2154,962,3190,810,7311,2800,2205,3570,1426,1289,1223,482,2327,2563,92305,24695,26893,18233,4483,3379,3417,7145,2043,2016,43916,12091,888,13570,1030,4491,496,11352,93535,3051,1995,1611,2930,2452,1858,939,6035,983,2135,521,1493,2116,884,2987,518,949,2380,1573,1247,3000,1570,8393,1746,1673,1614,1381,1584,3041,377,165,2699,1301,655,2311,5671,2131,3135,676,1952,1249,1349,1791,2191,1020,302,1903,37380,4681,3841,430,5741,2004,2314,635,716,1159,1009,3297,4489,1745,3039,2281,43203,3740,599,521,1842,2144,1070,894,874,722,1305,2042,972,1491,3257,2389,1677,6296,11369,83721,767,1558,7440,1147,8454,2279,1879,7862,3777,5240,6354,2452,6812,2376,11165,14160,140277,21757,15691,5354,5599,15482,2013,5225,2045,1848,12341,572,1557,2334,1129,10076,6550,30704,55102,1885,671,1703,6861,6093,5202,315,7940,6036,3733,2841,3699,1738,6384,46612,3199,6643,10055,1590,2547,16708,4868,1003,173149,6667,7237,1691,19031,21992,3887,12303,14351,5227,32802,5674,29457,12828
40,R40130,福岡県,福岡市,2.94,947586,74951,21775,9098,22517,2877,1745,1354,3376,4084,2128,640,636,1485,3237,72499,1615,1748,658,784,945,4180,1016,434,1787,3387,1592,1027,2941,1511,7376,6070,700,103,684,758,349,925,5818,997,452,6702,2446,1555,2507,1004,841,1975,500,2956,4154,101396,26622,30294,20422,3666,3707,4916,6937,2571,2262,44943,13264,1469,12073,1183,6421,492,10041,106051,3393,1861,1284,3280,2648,2201,1126,7053,1057,2664,913,1499,2438,1174,3449,1001,747,3060,1505,1413,3221,1953,7909,2449,1765,1858,1292,2123,6060,467,404,2792,1586,832,3160,4681,2436,4616,757,1503,1406,917,435,4471,819,405,1971,35362,4234,3149,509,2126,1353,2844,1028,670,1306,649,2952,4516,2178,4456,3393,45110,4105,630,370,1727,2332,991,1099,718,694,1265,2278,1141,1407,3628,3149,1714,5072,12790,84593,516,1338,7916,666,7385,1885,1489,6905,4001,3487,4789,2174,6702,1681,9959,23700,117153,17070,11631,4346,5351,13664,1633,3687,1239,1509,10574,617,2281,1685,1216,7193,1834,31623,53299,4113,1001,1539,5059,7051,3882,350,7328,5893,3081,1648,3956,1069,7328,39523,5017,5288,10014,1509,4646,8362,3393,1295,172706,7504,5736,2590,11685,18583,4034,8424,7208,4712,65254,6845,18748,11384
41,R41201,佐賀県,佐賀市,2.92,931653,73234,23649,9175,19130,2428,2032,1132,3251,4329,2330,517,560,1555,3146,71649,2083,1993,691,822,1335,5426,1149,687,2352,3910,1745,826,3958,1754,6511,4031,856,246,766,779,556,1155,2035,671,488,6761,3194,2266,3118,1559,924,1906,387,2593,2116,102048,30621,28673,17957,4053,3103,4780,7377,3065,2419,43396,13536,544,12402,1012,5412,413,10078,105413,3189,1747,1430,2779,2275,1905,1234,5647,1178,2915,838,1399,2377,1420,3452,1221,741,2984,1292,1381,3621,1995,7880,2100,1949,1890,1503,2022,3125,461,614,4993,1334,764,3063,5532,3376,4434,816,1904,1411,1140,576,4051,979,402,2074,31333,3610,2971,354,1435,1662,2175,867,491,1476,888,3190,4532,1555,2864,3264,45537,3982,553,461,1949,2444,1131,926,677,653,1305,2459,1011,1547,3729,3228,1837,5422,12225,81694,1442,1317,8139,912,7034,1986,1616,7656,3840,4639,5701,2250,6673,1978,9527,16983,123221,16139,11026,4230,7099,13176,2091,4415,1453,1565,10855,1128,2055,1708,1348,10942,4730,29261,54926,4837,461,1518,6603,6025,4125,392,6392,6467,4459,2025,3017,1290,7313,41912,6820,6386,11135,871,2709,10267,2762,962,157290,7680,6584,3114,14324,37136,4100,13497,9043,4513,26203,4949,16494,9652
42,R42201,長崎県,長崎市,2.74,881283,76843,25396,8890,21537,2556,1882,1066,3720,4054,1893,463,671,1872,2843,77021,1111,2796,870,901,407,4123,1111,458,1682,4510,1667,949,3141,1711,8427,5896,1016,158,968,689,380,1140,1444,626,654,7408,3648,2009,7161,1974,934,1497,573,2564,2418,89242,23569,26273,15703,4058,3021,4424,7265,2737,2192,41619,12941,701,11353,1062,5038,460,10064,100458,3331,1582,1386,2669,2295,1939,1007,5018,1252,2678,761,1522,2227,1162,3291,829,726,3209,1404,1453,3651,1818,7625,2087,1929,1725,1150,1610,5003,552,470,2695,1591,1157,2756,4910,2864,4072,828,1641,1388,1139,523,4335,1021,374,1800,37298,4495,3809,305,1808,1656,2605,1325,675,1486,929,3013,5013,1927,5117,3135,42983,3837,681,392,2035,2513,1265,1125,699,577,1328,2211,1132,1309,3057,2945,1713,4331,11832,76663,480,1091,7186,5310,5279,1879,1200,5884,3574,3202,3590,2222,5493,1285,8398,20589,115725,14463,10762,3808,4273,12905,2109,3308,1669,1726,10913,503,1928,1779,1335,5698,5355,33191,50931,6343,580,1365,5972,5819,3308,359,6334,4491,3817,1450,3668,1005,6419,36741,5158,6838,10295,1448,2358,8080,1740,825,135759,3586,4686,1592,9078,16191,2441,6113,4037,2360,62234,4115,14480,4846
43,R43100,熊本県,熊本市,3.09,883412,70424,21286,8951,19603,2307,1647,1303,2840,4631,2864,501,625,1010,2856,57961,1660,1312,584,614,570,3824,919,512,1930,3073,1594,1016,2748,560,5928,4666,795,122,427,517,220,1195,1759,679,350,6191,1916,1842,2211,997,765,1247,765,2361,2095,101876,25355,29750,20533,4256,4779,4216,7971,2768,2248,41493,14126,956,10128,902,5232,465,9684,87659,3069,1231,1013,2199,1979,1617,1162,4091,858,2327,962,1200,1991,1034,3126,649,398,2542,1087,975,3297,1394,6264,1858,1454,1645,1364,1347,3380,361,495,2802,1296,714,2356,4432,2870,4972,615,1480,1287,944,418,3850,942,666,1648,28252,3000,2554,236,1885,1260,2225,876,386,1686,1467,2383,3940,1430,2444,2481,43616,4004,632,428,1822,2746,1149,877,758,711,1415,2383,875,1673,3391,2536,2204,4490,11524,80037,417,1583,7780,541,7438,2095,1300,7376,3458,3388,5986,2404,5779,2024,10152,18317,115451,18677,10395,3712,5330,12513,1512,3728,1359,1412,10965,439,1814,1922,1381,9048,3795,27452,53876,4262,605,1232,7749,5253,4655,291,6335,6499,4389,2362,2574,1398,6270,44090,3528,9298,10630,1437,2036,12277,3817,1068,158675,4950,5462,1726,12573,23677,3292,10682,8858,5632,42623,3690,22106,13405
44,R44201,大分県,大分市,2.83,866559,69206,20533,9413,18949,2493,1597,1074,3164,4158,2384,552,629,1474,2785,64980,1590,2186,940,913,953,3700,1107,700,1564,3768,1644,916,2705,1090,6376,4795,843,216,473,682,424,1210,2172,720,606,6875,2373,1796,2684,1263,681,1749,714,2331,2220,97685,29471,27180,18788,3604,3077,4318,6618,2300,2328,42268,13178,1081,12027,929,4878,373,9803,94183,3124,1574,1362,2785,2260,1791,1026,5160,924,2506,976,1439,2245,1191,3343,751,447,2395,1072,1117,3227,1656,6611,1969,1865,1786,1396,1476,3289,449,825,2587,1473,741,2874,4535,2511,4658,722,1609,1265,1160,549,4599,880,342,1639,36001,4388,4583,346,2415,1760,2468,1066,538,1147,568,2994,4831,1831,3921,3143,41088,4159,616,429,1841,2327,1106,1291,587,589,1181,1970,1160,1272,3343,2057,1722,4107,11330,80210,509,1420,6721,499,6237,1958,1435,6343,5264,3581,6497,2606,6962,2594,9489,18095,113722,16868,11963,4395,4868,12535,2258,3646,1546,1543,12314,475,1818,1532,1175,8413,1447,26924,52157,4241,480,1830,7079,5680,4341,351,7373,5234,2094,1849,3562,1228,6815,37420,3219,9414,7845,1421,2586,9404,2687,845,137639,4740,5861,2323,11633,22468,2484,9293,10850,5877,25440,5468,18891,12311
45,R45201,宮崎県,宮崎市,2.9,856441,66562,20347,7619,18307,2668,1573,1185,3290,4098,2232,463,610,1260,2909,61555,3039,2149,685,1902,484,3429,1239,381,851,3035,1578,970,2774,1453,5684,4928,688,340,277,496,193,822,1615,370,854,6551,2449,1247,2213,1000,753,1672,493,2725,2215,94945,23218,29330,19548,3580,2923,3674,6856,2454,3362,39374,13483,792,10781,913,4743,410,8252,88952,3225,1271,1256,2563,2220,1750,935,4917,936,2275,745,1279,2103,921,3348,361,492,2820,918,1120,2967,1678,6215,1683,1786,1963,1415,1746,4061,474,428,2303,1090,656,2572,5027,2371,3815,629,1616,933,997,427,3475,793,357,2015,35416,4255,3888,219,3302,1271,2472,811,611,1125,1081,2448,4601,1640,5111,2581,44056,4124,532,440,1935,2724,1426,1112,666,595,1386,2341,961,1504,3239,2331,1819,5305,11614,74429,503,1345,6697,604,6223,1823,1445,6279,4181,3303,4681,2124,6173,1586,9038,18427,113450,16220,10344,3812,3984,11532,2177,3526,1225,1755,9996,449,3053,1601,1344,6766,4432,31235,52943,3881,354,1262,6387,4529,4592,442,6687,5910,4685,1865,3816,1269,7263,46065,2232,13475,9943,908,2454,12739,3421,892,138694,5993,6099,1397,11594,16942,2003,6887,6124,4178,45048,3356,16604,12469
46,R46201,鹿児島県,鹿児島市,2.86,893202,71903,23590,7777,18850,2868,2391,1289,3524,3994,2054,462,597,1481,3027,68640,2732,1657,1011,1492,313,4797,1707,523,1857,3664,1681,975,3145,1016,5147,5452,760,175,375,672,289,868,1418,602,570,5467,6768,1297,2729,906,1279,2133,564,2586,2011,96830,24379,31447,19633,3743,2676,3724,6679,2241,2307,43041,15079,1051,11753,899,4428,428,9404,98314,3277,1422,1220,2805,2316,2115,1281,5622,1136,2403,827,1530,2694,1146,3297,446,582,2962,1363,1360,3532,1378,6378,1873,1928,2207,1349,1839,3814,665,704,2835,1458,973,2618,5459,2959,4658,707,1824,1034,882,295,3552,1146,425,2020,35114,4236,4090,259,2386,1181,2324,1062,383,1413,888,2909,5190,2036,3502,3256,45962,4448,497,446,2532,2643,1725,1595,700,671,1410,2281,989,1446,3383,2841,1996,4806,11552,80448,534,2038,8952,650,6668,1871,1303,6832,4135,3367,4313,2245,5940,1600,9010,20990,108779,16963,11437,4145,3505,10640,2524,3053,1540,1937,9410,447,2442,2063,1006,6959,3957,26750,59289,5815,540,1529,6060,5386,3166,474,8139,4837,8706,1742,4000,1628,7266,35886,1555,11432,9874,844,1979,7777,1700,725,148996,6683,6684,1648,13452,23538,2009,10915,7696,4667,38852,3801,14898,14154
